Load,Transportadora,Origem_Cidade,Destino_Cidade,Peso Bruto (kg),Cubagem,Data de Coleta,Data de Entrega,Prazo Contratado (dias),Prazo Realizado,Status Transporte,Tipo_Veiculo,Tipo_Transporte, Valor do Frete ,Valor do Frete (MT)
567473,QuickMove,Maputo,Beira,1836,24.76,1/29/2022,2/8/2022,3,10,Atraso,VUC,Convencional,98600.0,118320.0
266816,QuickMove,Maputo,Nampula,7280,36.44,7/11/2022,7/13/2022,3,2,Dentro do Prazo,Carreta,Convencional,9.361,2191.23
913386,QuickMove,Maputo,Quelimane,4792,38.8,3/20/2023,3/29/2023,2,9,Atraso,Truck,Convencional,3.8904,2083.67
542701,QuickMove,Maputo,Tete,10659,85.3,5/10/2023,5/11/2023,1,1,Dentro do Prazo,Carreta,Convencional,8.3424,2458.01
816266,ExpressCargo,Moamba,Chimoio,6104,5.97,12/28/2022,12/30/2022,4,2,Dentro do Prazo,Truck,Urgente,7.5127,2389.02
191371,Cargas Maputo,Moamba,Tete,11183,52.2,6/9/2022,6/10/2022,3,1,Dentro do Prazo,Truck,Convencional,5.968,2039.16
816236,QuickMove,Maputo,Pemba,7816,41.26,6/18/2023,6/19/2023,2,1,Dentro do Prazo,Truck,Convencional,6.462,2327.75
624267,QuickMove,Maputo,Xai-Xai,2771,16.41,8/19/2023,8/20/2023,2,1,Dentro do Prazo,Truck,Convencional,5.358,2516.43
941668,QuickMove,Maputo,Lichinga,3592,34.96,8/30/2022,9/4/2022,3,5,Atraso,Truck,Convencional,3.512,2212.21
990612,Cargas Maputo,Moamba,Inhambane,1274,6.69,10/27/2022,10/28/2022,5,1,Dentro do Prazo,Truck,Convencional,4.074,2156.89
779206,QuickMove,Maputo,Maxixe,2870,3.21,3/9/2022,3/18/2022,3,9,Atraso,Truck,Convencional,3.444,2228.13
653857,ExpressCargo,Matola,Angoche,8911,34.65,12/15/2022,12/25/2022,12,10,Dentro do Prazo,Truck,Urgente,6.2153,2267.46
181488,QuickMove,Maputo,Nacala,1081,28.33,3/2/2023,3/10/2023,1,8,Atraso,VUC,Convencional,87840.0,105408.0
567917,QuickMove,Maputo,Manica,7104,52.4,3/6/2022,3/6/2022,1,0,Dentro do Prazo,Truck,Convencional,5.674,2500.81
466245,TransLift,Matola,Moc�mboa da Praia,9853,34.83,4/18/2023,4/21/2023,8,3,Dentro do Prazo,Truck,Convencional,5.4432,2411.53
138687,QuickMove,Maputo,Gur��,10034,45.54,12/25/2022,12/29/2022,1,4,Atraso,Truck,Convencional,4.023,2484.83
784885,QuickMove,Maputo,Angoche,743,19.87,1/4/2023,1/5/2023,1,1,Dentro do Prazo,VUC,Convencional,62880.0,75456.0
345115,TransLift,Matola,Angoche,10916,10.16,4/28/2023,5/8/2023,12,10,Dentro do Prazo,Truck,Convencional,6.486,2366.78
